i,jobpost,date,Title,Company,AnnouncementCode,Term,Eligibility,Audience,StartDate,Duration,...,Salary,ApplicationP,OpeningDate,Deadline,Notes,AboutC,Attach,Year,Month,IT
27,Media Diversity Institute\r\nJOB TITLE: Repor...,21-Jan-04,Reporting Diversity Workshop for Journalists,Media Diversity Institute,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,"Please, submit your CVs to Artur Papyan, MDI\r...",NaN,26-Jan-04,NaN,The Media Diversity Institute (MDI) is a Londo...,NaN,2004,1,FALSE
28,Media Diversity Institute\r\nTITLE: Reportin...,21-Jan-04,Reporting Diversity Workshop for Journalists,Media Diversity Institute,NaN,NaN,NaN,NaN,NaN,3 days,...,NaN,Applicants are required to submit:\r\n- Short ...,NaN,31-Jan-04,NaN,The Media Diversity Institute (MDI) is a Londo...,NaN,2004,1,FALSE
29,SEF International\r\nJOB TITLE: Chief Account...,23-Jan-04,Chief Accountant,SEF International,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Please submit your CVs to the following e-mail...,NaN,29-Jan-04,NaN,NaN,NaN,2004,1,FALSE
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
18971,Career Center NGO\r\n\r\n\r\nTITLE: Reception...,22-Dec-15,Receptionist/ Administrative Assistant,Career Center NGO,NaN,Part-time/ Full-time,Everyone,NaN,ASAP,NaN,...,NaN,"To apply for this position, please open\r\nwww...",23-Dec-15,6-Jan-16,This is an excellent opportunity especially fo...,NaN,NaN,2015,12,FALSE
18972,Essential Solutions LLC\r\n\r\n\r\nTITLE: Jav...,22-Dec-15,"Java, Grails/ Groovie Developer",Essential Solutions LLC,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,"To apply, please send a CV to:\r\ninfo@... .\r...",23-Dec-15,22-Jan-16,NaN,Essential Solutions specializes in providing I...,NaN,2015,12,TRUE
18973,Essential Solutions LLC\r\n\r\n\r\nTITLE: Sen...,22-Dec-15,Senior Java Software Engineer,Essential Solutions LLC,NaN,NaN,NaN,NaN,ASAP,Permanent,...,"Competitive, family medical insurance coverage.",Interested candidates are asked to send their\...,23-Dec-15,22-Jan-16,NaN,Please visit: www.essentialsln.com for more in...,NaN,2015,12,TRUE
18974,LTX-Credence Armenia LLC\r\n\r\n\r\nTITLE: CA...,23-Dec-15,CAD Librarian (Printed Circuit Board Design),LTX-Credence Armenia LLC,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Interested candidates are kindly requested to\...,23-Dec-15,22-Jan-16,NaN,LTX-Credence Armenia is an engineering develop...,NaN,2015,12,FALSE
18975,LTX-Credence Armenia LLC\r\n\r\n\r\nTITLE: In...,23-Dec-15,Intern ( Coop Tech): Precision Analog HW Design,LTX-Credence Armenia LLC,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Interested candidates are kindly requested to\...,23-Dec-15,22-Jan-16,NaN,LTX-Credence Armenia is an engineering develop...,NaN,2015,12,FALSE
18976,SAS Group LLC\r\n\r\n\r\nTITLE: Senior Financ...,22-Dec-15,Senior Financial Specialist,SAS Group LLC,NaN,NaN,NaN,NaN,ASAP,Long-term,...,Highly competitive,Interested candidates are encouraged to submit...,23-Dec-15,22-Jan-16,NaN,NaN,NaN,2015,12,FALSE
18977,Strategic Development Agency (SDA) NGO\r\n\r\n...,22-Dec-15,Business Consultant,Strategic Development Agency (SDA) NGO,NaN,NaN,NaN,NaN,NaN,"Long-term, with a probation period of 3 months.",...,NaN,Interested candidates can send their full CVs\...,23-Dec-15,15-Jan-16,NaN,"""Strategic Development Agency"" (SDA) NGO is a ...",NaN,2015,12,FALSE
18978,"Representation of the ""French Office for Immig...",22-Dec-15,National Expert on Socio-Demographic Statistics,"Representation of the ""French Office for Immig...",NaN,NaN,NaN,NaN,15-Feb-15,4 - 5 months,...,NaN,"To apply for this position, please submit a\r\...",23-Dec-15,12-Jan-16,NaN,The French Office for Immigration and Integrat...,The following attachment(s) to this announceme...,2015,12,TRUE
18979,Care Building Services LLC\r\n\r\n\r\nTITLE: ...,23-Dec-15,Project Assistant,Care Building Services LLC,NaN,NaN,All eligible candidates.,NaN,Immediately,Long-term,...,Highly competitive,"To apply for this position, please submit your...",23-Dec-15,20-Jan-16,NaN,Care Building Services LLC is a Yerevan based\...,NaN,2015,12,FALSE
18980,LTX-Credence Armenia LLC\r\n\r\n\r\nTITLE: Ha...,23-Dec-15,Hardware Engineer,LTX-Credence Armenia LLC,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,Interested candidates are kindly requested to\...,23-Dec-15,22-Jan-16,NaN,LTX-Credence Armenia is an engineering develop...,NaN,2015,12,TRUE
18981,BDO Armenia CJSC\r\n\r\n\r\nTITLE: Auditor\r\...,23-Dec-15,Auditor,BDO Armenia CJSC,NaN,NaN,NaN,NaN,ASAP,NaN,...,Based on the companys remuneration scheme.,All interested and qualified candidates are\r\...,23-Dec-15,11-Jan-16,NaN,NaN,The following attachment(s) to this announceme...,2015,12,FALSE
18982,BDO Armenia CJSC\r\n\r\n\r\nTITLE: Senior Aud...,23-Dec-15,Senior Auditor,BDO Armenia CJSC,NaN,NaN,NaN,NaN,ASAP,NaN,...,Based on the companys remuneration scheme.,All interested and qualified candidates are\r\...,23-Dec-15,11-Jan-16,NaN,NaN,The following attachment(s) to this announceme...,2015,12,FALSE
18983,Care Building Services LLC\r\n\r\n\r\nTITLE: ...,23-Dec-15,Construction Site Manager,Care Building Services LLC,NaN,NaN,All eligible candidates.,NaN,Immediately,Long-term,...,Highly competitive,"To apply for this position, please submit your...",23-Dec-15,20-Jan-16,NaN,Care Building Services LLC is a Yerevan based\...,NaN,2015,12,FALSE
18984,Care Building Services LLC\r\n\r\n\r\nTITLE: ...,23-Dec-15,Electrical Engineer,Care Building Services LLC,NaN,NaN,All eligible candidates.,NaN,Immediately,Long-term,...,Highly competitive,"To apply for this position, please submit your...",23-Dec-15,20-Jan-16,NaN,Care Building Services LLC is a Yerevan based\...,NaN,2015,12,FALSE
18985,Strategic Development Agency (SDA) NGO\r\n\r\n...,22-Dec-15,Project Assistant,Strategic Development Agency (SDA) NGO,NaN,NaN,NaN,NaN,NaN,"Long-term, with a probation period of 3 months.",...,NaN,Interested candidates can send their full CVs\...,23-Dec-15,15-Jan-16,NaN,"""Strategic Development Agency"" (SDA) NGO is a ...",NaN,2015,12,FALSE
18986,Strategic Development Agency (SDA) NGO\r\n\r\n...,22-Dec-15,Public Relations Specialist,Strategic Development Agency (SDA) NGO,NaN,NaN,NaN,NaN,NaN,"Long-term, with a probation period of 3 months.",...,NaN,Interested candidates can send their full CVs\...,23-Dec-15,15-Jan-16,NaN,"""Strategic Development Agency"" (SDA) NGO is a ...",NaN,2015,12,FALSE
18987,PicsArt LLC\r\n\r\n\r\nTITLE: Junior Mobile V...,24-Dec-15,Junior Mobile Visual UI/ UX Designer,PicsArt LLC,NaN,NaN,NaN,NaN,ASAP,Long-term,...,NaN,"To apply for this position, please send a lett...",24-Dec-15,23-Jan-16,NaN,PicsArt LLC is a US based free and full featur...,NaN,2015,12,TRUE
18988,Berg Development LLC\r\n\r\n\r\nTITLE: JavaSc...,24-Dec-15,JavaScript Professional,Berg Development LLC,NaN,Full-time,NaN,NaN,Immediately,NaN,...,Highly competitive,To apply for this position please send your\r\...,24-Dec-15,23-Jan-16,Berg Development LLC does not hire smokers.,Bergx2 GmbH is a German specialist for digital...,NaN,2015,12,TRUE
18989,"""Transport PIU"" State Institution of the RA Mi...",24-Dec-15,Leading Specialist/ Accountant of Financial an...,"""Transport PIU"" State Institution of the RA Mi...",NaN,NaN,All interested and qualified candidates.,NaN,As soon as possible.,Long-term with a probation period of 3 months.,...,Commensurate with skills and experience.,Interested candidates are asked to submit the\...,25-Dec-15,"24 January 2016, 17:00 p.m.",NaN,"The ""Transport PIU"" SI (PIU) of the RA Ministr...",NaN,2015,12,FALSE
18990,NASDAQ OMX Armenia OJSC\r\n\r\n\r\nTITLE: Jav...,24-Dec-15,Java Developer,NASDAQ OMX Armenia OJSC,NaN,Full-time,NaN,NaN,NaN,NaN,...,Competitive,Interested candidates can submit their CVs to:...,25-Dec-15,24-Jan-16,NaN,For more information please visit: www.nasdaqo...,NaN,2015,12,TRUE
18991,NASDAQ OMX Armenia OJSC\r\n\r\n\r\nTITLE: C/ ...,24-Dec-15,C/ C++ Developer,NASDAQ OMX Armenia OJSC,NaN,Full-time,NaN,NaN,NaN,NaN,...,Competitive,Interested candidates can submit their CVs to:...,25-Dec-15,24-Jan-16,NaN,"For more information, please visit: www.nasdaq...",NaN,2015,12,TRUE
18992,Macadamian AR CJSC\r\n\r\n\r\nTITLE: .NET Dev...,25-Dec-15,.NET Developer,Macadamian AR CJSC,NaN,NaN,NaN,NaN,NaN,NaN,...,NaN,"To apply for this position, please email your ...",25-Dec-15,24-Jan-16,NaN,Macadamian AR is a global software development...,NaN,2015,12,TRUE
18993,"""Coca-Cola Hellenic Bottling Company Armenia"" ...",25-Dec-15,Recruitment Specialist,"""Coca-Cola Hellenic Bottling Company Armenia"" ...",NaN,Full-time,All interested candidates.,NaN,ASAP,Long-term with a probation period of 3 months.,...,NaN,All interested candidates are kindly requested...,25-Dec-15,24-Jan-16,NaN,NaN,NaN,2015,12,FALSE
18994,"""Coca-Cola Hellenic Bottling Company Armenia"" ...",25-Dec-15,Capability Development Specialist,"""Coca-Cola Hellenic Bottling Company Armenia"" ...",NaN,NaN,All interested candidates.,NaN,ASAP,Long-term with a probation period of 3 months.,...,NaN,All interested candidates are kindly requested...,25-Dec-15,24-Jan-16,NaN,NaN,NaN,2015,12,FALSE
18995,"""Transport PIU"" State Institution of the RA Mi...",24-Dec-15,Deputy Director,"""Transport PIU"" State Institution of the RA Mi...",NaN,NaN,All interested and qualified candidates.,NaN,As soon as possible.,Long-term with a probation period of 3 months.,...,Commensurate with skills and experience.,Interested candidates are asked to submit the\...,25-Dec-15,"24 January 2016, 17:00 p.m.",NaN,"The ""Transport PIU"" SI (PIU) of the RA Ministr...",NaN,2015,12,FALSE
18996,Technolinguistics NGO\r\n\r\n\r\nTITLE: Senio...,28-Dec-15,Senior Creative UX/ UI Designer,Technolinguistics NGO,NaN,Full-time,NaN,NaN,NaN,Long-term,...,Competitive,"To apply for this position, please send your\r...",29-Dec-15,28-Jan-16,NaN,As a company Technolinguistics has a mandate t...,NaN,2015,12,FALSE
18997,"""Coca-Cola Hellenic Bottling Company Armenia"" ...",30-Dec-15,Category Development Manager,"""Coca-Cola Hellenic Bottling Company Armenia"" ...",NaN,Full-time,All interested professionals.,NaN,ASAP,Long-term with a probation period of 3 months.,...,NaN,All interested candidates are kindly requested...,30-Dec-15,20-Jan-16,NaN,NaN,NaN,2015,12,FALSE
18998,"""Coca-Cola Hellenic Bottling Company Armenia"" ...",30-Dec-15,Operational Marketing Manager,"""Coca-Cola Hellenic Bottling Company Armenia"" ...",NaN,Full-time,All interested professionals.,NaN,ASAP,Long-term with a probation period of 3 months.,...,NaN,All interested candidates are kindly requested...,30-Dec-15,20-Jan-16,NaN,NaN,NaN,2015,12,FALSE
18999,San Lazzaro LLC\r\n\r\n\r\nTITLE: Head of O...,30-Dec-15,Head of Online Sales Department,San Lazzaro LLC,NaN,NaN,NaN,NaN,NaN,Long-term,...,Highly competitive,Interested candidates can send their CVs to:\r...,30-Dec-15,29-Jan-16,NaN,San Lazzaro LLC works with several internation...,NaN,2015,12,FALSE
19000,"""Kamurj"" UCO CJSC\r\n\r\n\r\nTITLE: Lawyer in...",30-Dec-15,Lawyer in Legal Department,"""Kamurj"" UCO CJSC",NaN,Full-time,NaN,NaN,NaN,Indefinite,...,NaN,All qualified applicants are encouraged to\r\n...,30-Dec-15,20-Jan-16,NaN,"""Kamurj"" UCO CJSC is providing micro and small...",NaN,2015,12,FALSE
