sending_num,receiving_num,text_timestamp
78132 18081,98443 72004,1/9/16 22:08
90084 16988,93422 47940,1/9/16 22:09
97393 04671,98444 42212,1/9/16 22:18
97395 95120,94490 65627,1/9/16 22:24
94499 38099,90365 51029,1/9/16 22:28
90083 59148,97421 07528,1/9/16 22:29
90366 69257,90082 61126,1/9/16 22:39
84319 39746,95263 76972,1/9/16 22:40
78295 65598,84313 45689,1/9/16 22:40
90351 35947,97424 21092,1/9/16 22:45
92428 82401,97385 29751,1/9/16 22:48
97416 29480,94489 72078,1/9/16 22:51
97389 12538,90352 50054,1/9/16 22:52
90357 17994,93420 59147,1/9/16 22:54
78295 60375,83015 22251,1/9/16 22:56
95264 40233,98440 68457,1/9/16 22:56
97393 04671,97415 99182,1/9/16 22:56
78295 48262,81515 65055,1/9/16 23:04
78136 65840,74066 93594,1/9/16 23:05
90084 16988,93422 47940,1/9/16 23:07
97391 99665,90368 72970,1/9/16 23:10
78136 65840,74066 93594,1/9/16 23:14
77950 18278,89078 69605,1/9/16 23:16
74066 93594,78136 65840,1/9/16 23:24
95267 70383,97414 62027,1/9/16 23:29
96566 40412,90352 50054,1/9/16 23:29
92414 22596,93421 63491,1/9/16 23:31
97406 93118,98453 46196,1/9/16 23:38
99617 74886,98445 42844,1/9/16 23:44
97393 04671,98444 42212,1/9/16 23:46
90359 99240,78138 93826,1/9/16 23:47
90359 99240,94491 55790,1/9/16 23:50
97390 23922,99004 86250,1/9/16 23:55
81526 05544,99612 41256,1/9/16 23:56
97425 12708,90366 36573,1/9/16 23:57
78139 24512,90192 87313,1/9/16 23:58
90365 06212,81513 30231,2/9/16 6:00
89078 69605,77950 18278,2/9/16 6:02
78132 18081,77956 90632,2/9/16 6:03
90352 50054,97389 12538,2/9/16 6:03
81515 42171,98440 02823,2/9/16 6:05
84319 39746,95263 76972,2/9/16 6:20
90351 35947,97424 21092,2/9/16 6:23
92411 96415,97406 74488,2/9/16 6:30
97380 60551,81524 55552,2/9/16 6:30
78138 56841,97426 75324,2/9/16 6:31
94489 72078,97416 29480,2/9/16 6:36
93412 66159,94499 20763,2/9/16 6:45
98452 19037,90355 94399,2/9/16 6:49
83019 39880,87146 31956,2/9/16 6:59
92411 96415,97406 74488,2/9/16 6:59
93418 82576,94489 95536,2/9/16 7:03
78138 56841,97426 75324,2/9/16 7:09
93410 56456,98453 86521,2/9/16 7:22
98449 60656,97414 62784,2/9/16 7:24
97425 92186,94482 95223,2/9/16 7:26
97425 12708,90366 36573,2/9/16 7:35
90359 52497,97390 23922,2/9/16 7:36
99009 32475,78138 56841,2/9/16 7:37
78139 24512,90192 87313,2/9/16 7:43
74060 75431,92413 79027,2/9/16 7:48
78136 42599,97399 92703,2/9/16 7:51
93418 82576,94489 95536,2/9/16 8:01
97446 95253,97428 35959,2/9/16 8:04
97393 04671,97415 99182,2/9/16 8:06
93420 59147,90357 17994,2/9/16 8:09
93436 09781,98448 72117,2/9/16 8:12
78993 92058,92411 96415,2/9/16 8:16
94491 55790,90359 99240,2/9/16 8:20
83019 53227,98446 66723,2/9/16 8:25
89078 69605,77950 18278,2/9/16 8:29
98452 19037,90355 94399,2/9/16 8:33
92424 51984,78299 99223,2/9/16 8:33
93435 21961,92411 96415,2/9/16 8:35
93416 07259,78132 18081,2/9/16 8:38
97391 99665,94488 97308,2/9/16 8:46
84313 45689,78295 65598,2/9/16 8:49
98448 87878,90366 36573,2/9/16 8:50
99004 86250,97390 23922,2/9/16 8:53
98458 13389,93423 23000,2/9/16 8:55
93432 65750,92425 27794,2/9/16 9:02
74066 93594,78136 65840,2/9/16 9:14
98458 13389,93423 23000,2/9/16 9:15
94489 72078,92415 91418,2/9/16 9:15
93422 47940,90084 16988,2/9/16 9:18
78295 60375,93410 98013,2/9/16 9:19
94497 44333,90087 42537,2/9/16 9:21
93423 23000,98458 13389,2/9/16 9:29
97425 92186,94482 95223,2/9/16 9:34
99004 86250,97390 23922,2/9/16 9:34
97414 15280,90199 91061,2/9/16 9:34
94492 23068,94489 95536,2/9/16 9:41
90193 20957,97420 86635,2/9/16 9:42
98441 32533,70129 62374,2/9/16 9:47
98444 72482,98446 78140,2/9/16 9:48
98445 33687,97403 49292,2/9/16 9:55
90084 16988,93422 47940,2/9/16 9:57
93423 23000,98458 13389,2/9/16 10:07
97424 53609,90197 69887,2/9/16 10:11
97391 99665,90368 72970,2/9/16 10:14
97446 95253,97428 35959,2/9/16 10:15
78295 65598,98440 65896,2/9/16 10:19
81515 65055,78295 48262,2/9/16 10:20
97391 99665,94488 97308,2/9/16 10:23
96565 52272,93428 11808,2/9/16 10:33
90366 36573,97425 12708,2/9/16 10:36
97395 95120,94490 65627,2/9/16 10:40
97420 86635,90193 20957,2/9/16 10:40
94486 40312,97424 60171,2/9/16 10:45
89078 69605,77950 18278,2/9/16 10:48
90194 00845,97416 17124,2/9/16 10:52
97424 21092,90351 35947,2/9/16 10:53
74066 93594,78136 65840,2/9/16 10:55
93435 31225,87141 37314,2/9/16 10:57
92413 38675,90362 07317,2/9/16 11:01
81520 43406,92421 64236,2/9/16 11:03
94490 65627,97395 95120,2/9/16 11:12
98441 32533,93410 98013,2/9/16 11:20
97391 99665,94488 97308,2/9/16 11:23
90197 24124,99612 41256,2/9/16 11:24
81515 42171,98440 02823,2/9/16 11:25
90194 00845,97416 17124,2/9/16 11:26
94488 97308,97391 99665,2/9/16 11:27
97391 99665,90355 94399,2/9/16 11:35
97380 60551,90365 51029,2/9/16 11:39
97393 04671,97415 99182,2/9/16 11:42
98445 33687,97403 49292,2/9/16 11:54
94491 55790,90359 99240,2/9/16 11:56
93410 98013,78295 60375,2/9/16 12:00
93410 98013,98441 32533,2/9/16 12:08
97426 75324,78138 56841,2/9/16 12:19
97411 71155,98443 99204,2/9/16 12:22
97391 99665,94488 97308,2/9/16 12:33
93422 47940,90084 16988,2/9/16 12:38
90088 09624,93434 31551,2/9/16 12:42
94489 72078,97416 29480,2/9/16 12:51
99616 15114,94006 62384,2/9/16 12:51
97403 49292,98445 33687,2/9/16 12:54
93422 47940,90084 16988,2/9/16 12:55
98445 33687,97403 49292,2/9/16 12:56
95262 44233,98442 33257,2/9/16 12:57
83015 22251,78295 60375,2/9/16 13:01
78133 10302,93423 23000,2/9/16 13:02
99610 89720,90197 69887,2/9/16 13:02
94499 20763,84314 16122,2/9/16 13:03
98444 72482,98446 78140,2/9/16 13:03
74060 75431,92413 79027,2/9/16 13:05
93410 98013,78295 60375,2/9/16 13:10
97412 66065,94006 62384,2/9/16 13:11
97385 70012,94497 44333,2/9/16 13:15
90354 08732,94499 20763,2/9/16 13:19
94486 40312,97424 60171,2/9/16 13:20
92411 96415,97406 74488,2/9/16 13:37
98454 90038,90359 52497,2/9/16 13:43
78993 92058,92411 96415,2/9/16 13:44
78136 65840,74066 93594,2/9/16 13:46
97425 92186,94482 95223,2/9/16 13:47
97424 21092,90351 35947,2/9/16 13:51
77956 90632,92411 96415,2/9/16 13:54
98445 42844,99617 74886,2/9/16 13:59
93420 59147,90357 17994,2/9/16 14:01
94495 34273,94491 05266,2/9/16 14:05
94480 64700,90088 09624,2/9/16 14:05
94491 55790,90359 99240,2/9/16 14:13
78133 10302,93423 23000,2/9/16 14:13
97385 70012,94497 44333,2/9/16 14:14
93434 31551,90088 09624,2/9/16 14:18
84313 45689,78295 65598,2/9/16 14:20
90083 59148,97421 07528,2/9/16 14:26
98444 72482,98446 78140,2/9/16 14:35
97385 29751,92428 82401,2/9/16 14:45
78138 56841,99009 32475,2/9/16 14:46
81520 43406,92421 64236,2/9/16 14:48
98449 60656,97414 62784,2/9/16 14:58
90368 72970,94001 07403,2/9/16 14:59
97424 21092,90351 35947,2/9/16 15:00
78139 24512,90192 87313,2/9/16 15:03
93436 09781,98448 72117,2/9/16 15:17
81515 65055,78295 48262,2/9/16 15:32
83019 53227,98446 66723,2/9/16 15:33
90366 69257,90082 61126,2/9/16 15:36
93412 66159,94499 20763,2/9/16 15:42
90359 79636,99001 23133,2/9/16 15:42
98441 32533,70129 62374,2/9/16 15:43
90351 35947,97424 21092,2/9/16 15:44
93420 59147,90357 17994,2/9/16 15:45
94482 95223,97425 92186,2/9/16 15:45
97424 21092,90351 35947,2/9/16 15:46
94489 72078,97416 29480,2/9/16 15:48
90199 91061,97414 15280,2/9/16 15:50
90351 35947,97424 21092,2/9/16 15:55
94001 07403,90368 72970,2/9/16 15:55
99610 89720,81525 12041,2/9/16 15:56
94488 97308,97391 99665,2/9/16 15:59
98448 72117,93436 09781,2/9/16 16:03
94480 64700,90088 09624,2/9/16 16:04
90193 20957,97420 86635,2/9/16 16:08
98444 42212,97393 04671,2/9/16 16:15
98449 60656,90084 16988,2/9/16 16:17
98458 13389,93423 23000,2/9/16 16:23
93421 63491,92414 22596,2/9/16 16:28
92411 96415,77956 90632,2/9/16 16:32
78295 65598,84313 45689,2/9/16 16:34
97391 99665,94488 97308,2/9/16 16:35
97416 17124,90194 00845,2/9/16 16:35
97421 07528,97399 92703,2/9/16 16:40
93422 47940,90084 16988,2/9/16 16:42
94492 23068,94489 95536,2/9/16 16:43
94482 95223,97425 92186,2/9/16 16:45
97414 15280,90199 91061,2/9/16 16:45
84311 10322,90359 79636,2/9/16 16:46
94497 77615,81517 73746,2/9/16 16:46
78295 60375,93410 98013,2/9/16 16:50
94497 77615,81517 73746,2/9/16 16:54
97391 99665,90368 72970,2/9/16 16:59
97393 04671,98444 42212,2/9/16 17:00
95262 44233,98442 33257,2/9/16 17:12
90365 51029,94499 38099,2/9/16 17:24
97425 92186,94482 95223,2/9/16 17:30
90192 87313,78139 24512,2/9/16 17:34
95262 44233,97393 04671,2/9/16 17:35
97424 53609,90197 69887,2/9/16 17:41
74066 93594,78136 65840,2/9/16 17:41
93436 09781,98448 72117,2/9/16 17:44
90359 52497,97390 23922,2/9/16 17:45
95264 40233,98440 68457,2/9/16 17:46
93435 21961,92411 96415,2/9/16 17:47
96566 40412,90352 50054,2/9/16 17:49
97425 12708,90366 36573,2/9/16 17:51
94489 72078,97416 29480,2/9/16 17:53
97393 04671,95262 44233,2/9/16 17:59
78295 65598,98440 65896,2/9/16 18:03
90355 94399,98452 19037,2/9/16 18:14
94497 44333,97385 70012,2/9/16 18:17
78290 31269,97386 37259,2/9/16 18:18
92411 96415,97406 74488,2/9/16 18:18
78295 60375,83015 22251,2/9/16 18:29
97404 63904,97447 92655,2/9/16 18:30
99009 32475,78138 56841,2/9/16 18:30
70121 27677,83012 37742,2/9/16 18:31
99001 85033,74066 93594,2/9/16 18:35
97448 02140,97418 46131,2/9/16 18:41
78138 56841,97426 75324,2/9/16 18:42
97424 53609,90197 69887,2/9/16 18:43
92421 64236,81520 43406,2/9/16 18:44
81525 78007,93418 41992,2/9/16 18:44
84313 45689,78295 65598,2/9/16 18:46
97424 21092,90351 35947,2/9/16 18:48
74294 40351,98440 02823,2/9/16 18:49
99009 32475,81519 62015,2/9/16 18:49
99006 60463,99003 88572,2/9/16 18:50
93422 47940,90084 16988,2/9/16 18:57
93420 59147,90357 17994,2/9/16 18:57
93420 59147,90357 17994,2/9/16 18:58
78132 18081,77956 90632,2/9/16 19:03
92425 27794,93432 65750,2/9/16 19:20
81517 73746,94497 77615,2/9/16 19:21
93418 41992,81525 78007,2/9/16 19:23
94482 95223,97425 92186,2/9/16 19:32
98448 72117,93436 09781,2/9/16 19:36
99004 86250,97390 23922,2/9/16 19:36
90359 79636,70121 27677,2/9/16 19:36
99001 23133,90359 79636,2/9/16 19:42
90194 08626,98444 95768,2/9/16 19:48
92414 22596,93421 63491,2/9/16 19:57
90199 91061,97414 15280,2/9/16 19:57
81526 05544,99612 41256,2/9/16 20:00
97385 70012,94497 44333,2/9/16 20:02
97406 06245,97403 09983,2/9/16 20:11
94482 95223,97425 92186,2/9/16 20:17
99003 88572,99006 60463,2/9/16 20:20
94487 29969,97419 41164,2/9/16 20:29
87141 73076,78290 30467,2/9/16 20:31
94489 72078,97416 29480,2/9/16 20:37
93418 82576,94489 95536,2/9/16 20:39
93418 41992,81525 78007,2/9/16 20:43
98453 86521,93410 56456,2/9/16 20:48
78138 56841,97426 75324,2/9/16 20:50
98449 60656,90084 16988,2/9/16 20:50
93420 59147,90357 17994,2/9/16 20:59
89078 69605,77950 18278,2/9/16 21:06
90367 90080,74066 93594,2/9/16 21:14
78295 48262,70121 27677,2/9/16 21:14
94005 06213,98453 46196,2/9/16 21:19
81510 47188,97429 02055,2/9/16 21:26
93418 41992,97385 35042,2/9/16 21:31
97385 70012,97424 53609,2/9/16 21:39
98449 60656,90084 16988,2/9/16 21:51
98446 78140,98444 72482,2/9/16 21:54
97416 29480,94489 72078,2/9/16 21:55
94006 62384,99616 15114,2/9/16 21:55
78290 31269,97386 37259,2/9/16 21:58
90084 16988,98449 60656,2/9/16 22:01
92411 96415,97406 74488,2/9/16 22:04
81515 42171,98440 02823,2/9/16 22:13
94487 29969,97419 41164,2/9/16 22:13
98458 13389,93423 23000,2/9/16 22:21
98458 13389,93423 23000,2/9/16 22:22
90365 51029,97380 60551,2/9/16 22:28
92421 64236,81520 43406,2/9/16 22:34
97406 74488,92411 96415,2/9/16 22:38
98458 13389,93423 23000,2/9/16 22:41
90357 17994,93420 59147,2/9/16 22:42
94480 64700,90088 09624,2/9/16 22:42
90359 79636,70121 27677,2/9/16 22:45
90193 20957,97420 86635,2/9/16 22:48
78295 60375,93410 98013,2/9/16 22:51
93418 41992,81525 78007,2/9/16 22:52
93423 23000,78133 10302,2/9/16 22:54
99009 32475,78138 56841,2/9/16 22:56
99001 95783,89076 36757,2/9/16 23:05
90194 00845,97416 17124,2/9/16 23:12
81520 43406,92421 64236,2/9/16 23:15
97419 41164,94487 29969,2/9/16 23:15
97414 15280,90199 91061,2/9/16 23:17
94487 29969,97419 41164,2/9/16 23:18
97386 20071,94499 20763,2/9/16 23:24
94497 44333,97385 70012,2/9/16 23:25
93420 59147,90357 17994,2/9/16 23:29
90087 42537,94497 44333,2/9/16 23:30
97426 75324,78138 56841,2/9/16 23:34
81524 55552,97380 60551,2/9/16 23:45
99612 41256,81526 05544,2/9/16 23:50
97390 23922,90359 52497,2/9/16 23:51
98447 12671,93427 56500,2/9/16 23:58
84311 10322,90359 79636,2/9/16 23:58
99003 47921,98444 95768,2/9/16 23:59
98440 65896,93418 41992,2/9/16 23:59
90198 03659,97403 09983,3/9/16 6:06
97416 17124,90194 00845,3/9/16 6:13
93435 21961,92411 96415,3/9/16 6:18
90365 51029,97380 60551,3/9/16 6:20
78299 36192,94006 62384,3/9/16 6:23
87146 31956,83019 39880,3/9/16 6:25
95269 20533,97449 50000,3/9/16 6:27
93410 98013,98441 32533,3/9/16 6:28
93412 66159,98454 07778,3/9/16 6:30
90358 98099,97406 74488,3/9/16 6:37
74066 93594,78136 65840,3/9/16 6:39
97426 75324,78138 56841,3/9/16 6:40
97391 99665,90368 72970,3/9/16 6:42
97403 09983,90198 03659,3/9/16 6:45
97424 53609,90197 69887,3/9/16 6:45
97389 12538,90352 50054,3/9/16 6:46
97395 95120,94490 65627,3/9/16 6:47
98448 72117,93436 09781,3/9/16 6:52
93410 98013,78295 60375,3/9/16 6:53
95264 40233,98440 68457,3/9/16 6:53
93418 41992,97385 35042,3/9/16 6:57
94485 80091,84312 48999,3/9/16 7:00
90359 99240,94491 55790,3/9/16 7:04
81525 78007,93418 41992,3/9/16 7:04
83019 39880,87146 31956,3/9/16 7:06
97403 09983,90198 03659,3/9/16 7:09
98454 07778,93412 66159,3/9/16 7:14
93418 41992,81525 78007,3/9/16 7:14
90082 61126,90366 69257,3/9/16 7:29
97380 60551,90365 51029,3/9/16 7:38
97393 04671,95262 44233,3/9/16 7:39
90351 35947,97424 21092,3/9/16 7:41
90356 11723,81525 12041,3/9/16 7:55
98451 87493,97424 21092,3/9/16 7:56
97414 15280,90199 91061,3/9/16 7:58
98451 87493,97424 21092,3/9/16 8:02
93418 41992,97385 35042,3/9/16 8:03
97390 23922,90359 52497,3/9/16 8:18
90359 79636,84311 10322,3/9/16 8:19
97424 53609,97385 70012,3/9/16 8:20
94490 65627,97395 95120,3/9/16 8:20
92413 38675,90362 07317,3/9/16 8:22
98449 60656,97414 62784,3/9/16 8:24
84314 16122,94499 20763,3/9/16 8:25
94006 62384,99616 15114,3/9/16 8:29
93423 23000,98458 13389,3/9/16 8:31
90362 07317,92413 38675,3/9/16 8:35
87146 31956,83019 39880,3/9/16 8:42
83019 53227,98446 66723,3/9/16 8:46
97414 62784,98449 60656,3/9/16 9:07
95269 20533,97449 50000,3/9/16 9:09
